"Path","Exists","BlobHash","SizeBytes","FileName","BackupStyle","BackupReason","ProjectIncluded","TextReferenced","ReferenceEvidence","DuplicateCount","CanonicalPath","Classification","ProposedAction"
"Accounts/Reports/IGroup/Reports/Stock Consumption with Parameters.rpt","True","a3fd4645c4e625c7844a26fbfa678a4f8bd6a1f1","56320","Stock Consumption with Parameters.rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption with Parameters.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption.rpt","True","e1e7c9af85221e1cc56e42eaa3e854b94f10e7a0","58880","Stock Consumption.rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Stock Consumption2.rpt","True","8d336b3c1955ff9fdedf56cabab89c170ed6663e","56320","Stock Consumption2.rpt","False","","False","False","","2","IGroup/Reports/Stock Consumption2.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/StockAdjustment.rpt","True","ef8d9cc85a310b14bb0be7408c911c00febdafea","15872","StockAdjustment.rpt","False","","False","False","","5","IGroup/Reports/StockAdjustment.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/StockRegister Summary.rpt","True","cd0ebb6bd0eb623ca9301ad10498b86c2761bd57","17408","StockRegister Summary.rpt","False","","False","False","","3","IGroup/Reports/StockRegister Summary.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/StockRegister.rpt","True","8d5fecbdeaefa10aead6aa4694a18017a643651d","51200","StockRegister.rpt","False","","False","False","","2","IGroup/Reports/StockRegister.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/StockRegister2.rpt","True","30e3ac8643b052dcf2e6287cd1b35eadff33059b","17920","StockRegister2.rpt","False","","False","False","","2","Accounts/Reports/IGroup/Reports/StockRegister2.rpt","Canonical copy retained for exact duplicate group","Retain"
"Accounts/Reports/IGroup/Reports/StockRegister3.rpt","True","d87477eaecef2b7664bdfdb9c8f56e6685830101","18432","StockRegister3.rpt","False","","False","False","","2","Accounts/Reports/IGroup/Reports/StockRegister3.rpt","Canonical copy retained for exact duplicate group","Retain"
"Accounts/Reports/IGroup/Reports/StockRegisterClinic.rpt","True","5a968bf9d08a73497d82efe58b9797f267f4bcfd","21504","StockRegisterClinic.rpt","False","","False","False","","3","IGroup/Reports/StockRegisterClinic.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/StockRegisterClinicNew.rpt","True","1a25529a4f21440e689119108d28b23690cc17d2","21504","StockRegisterClinicNew.rpt","False","","False","False","","3","IGroup/Reports/StockRegisterClinicNew.rpt","Exact duplicate retained pending filename/path validation","Retain"
